"#","Question","Hint","Option A","Option B","Option C","Option D","Correct Answer","Rationale"
"14","أوجد مشتق التابع f(x) = ln(x² + 1).","استخدم قانون اشتقاق التابع اللوغاريتمي (ln u)' = (u')/(u).","(1)/(x²)","(2x)/(x² + 1)","2x · ln(x² + 1)","(1)/(x² + 1)","B. (2x)/(x² + 1)","قاعدة اشتقاق اللوغاريتم الطبيعي هي مشتق ما داخل اللوغاريتم مقسوماً على ما داخله: u'/u."
"15","لتكن المتتالية uₙ = 1 + ½ + ¼ + … + (1)/(2ⁿ). ما هي نهاية هذه المتتالية عندما n → ∞؟","طبق قانون مجموع المتتالية الهندسية ثم احسب نهاية هذا المجموع.","2","1.5","∞","1","A. 2","هذا مجموع حدود متتالية هندسية أساسها 1/2. المجموع هو Sₙ = frac1 - (1/2)ⁿ⁺¹1 - 1/2 ونهايته هي 1/(1/2) = 2."
"16","ما هو المقارب الأفقي لتابع f إذا كانت limₓ \ₜₒ ₋\ᵢₙfₜy f(x) = 4؟","تذكر الفرق بين معادلة المستقيم الأفقي (y=c) والمستقيم الشاقولي (x=c).","لا يوجد مقارب أفقي","المستقيم x = 4","المستقيم y = -4","المستقيم y = 4","D. المستقيم y = 4","تعريف المقارب الأفقي هو مستقيم معادلته y = L حيث L هي نهاية التابع عند اللانهاية."
"17","ما هو مشتق التابع الأسي f(x) = e⁻³ˣ؟","طبق قاعدة اشتقاق التوابع الأسية المركبة (eᵘ)' = u' eᵘ.","-3e⁻³ˣ","-3x · e⁻³ˣ⁻¹","e⁻³ˣ","(1)/(-3)e⁻³ˣ","A. -3e⁻³ˣ","مشتق التابع الأسي eᵘ هو u' · eᵘ. هنا u = -3x ومشتقه -3."
"18","إذا كانت المتتالية (uₙ) متزايدة ومحدودة من الأعلى، فماذا يمكننا القول عن تقاربها؟","استند إلى مبرهنات التقارب الأساسية للمتتاليات المطردة والمحدودة.","متقاربة نحو الصفر دائماً","متباعدة نحو +∞","تذبذبية ليس لها نهاية","متقاربة حتماً","D. متقاربة حتماً","حسب مبرهنة تقارب المتتاليات المطردة، كل متتالية متزايدة ومحدودة من الأعلى هي متتالية متقاربة."
"19","أوجد قيمة النهاية limₓ \ₜₒ ₀ (eˣ - 1)/(x).","فكر في تعريف العدد المشتق للتابع f(x) = eˣ عند النقطة x=0.","∞","0","1","e","C. 1","هذه نهاية شهيرة تمثل تعريف مشتق التابع eˣ عند الصفر، وقيمة مشتق eˣ هو نفسه، وعند الصفر يساوي e⁰ = 1."
"20","لتكن المتتالية (uₙ) معرفة بالعلاقة uₙ = n². هل هذه المتتالية حسابية؟","تحقق من ثبات الفرق بين أي حدين متتاليين للحكم على نوع المتتالية.","نعم، وأساسها 2","نعم، لأنها تتبع نمطاً مربعاً","لا، لأن الفرق uₙ₊₁ - uₙ ليس ثابتاً","لا، لأنها متتالية هندسية","C. لا، لأن الفرق uₙ₊₁ - uₙ ليس ثابتاً","الفرق هو (n+1)² - n² = 2n + 1، وهو يعتمد على n وليس قيمة ثابتة."
"21","أثبت بالتدريج أن المجموع Sₙ = 1² + 2² + … + n² = (n(n+1)(2n+1))/(6). إذا افترضنا صحة العلاقة لـ n=p، فما هو المقدار الذي يجب إضافته للطرفين لإثبات صحتها لـ n=p+1؟","انظر إلى طبيعة الحدود في المجموع Sₙ وحدد شكل الحد الذي يلي n².","(p+1)³","p+1","((p+1)(p+2)(2p+3))/(6)","(p+1)²","D. (p+1)²","للانتقال من مجموع p حد إلى مجموع p+1 حد، يجب إضافة الحد التالي في السلسلة وهو (p+1)²."
"22","ليكن التابع f(x) = x + ln x المعرف على ]0, +∞[. أوجد معادلة المقارب الشاقولي لهذا التابع.","ابحث عن القيمة التي تجعل نهاية التابع تؤول إلى اللانهاية.","x = 1","y = x","x = 0","لا يوجد مقارب شاقولي","C. x = 0","عندما تسعى x إلى 0 من اليمين، فإن ln x تسعى إلى -∞، مما يجعل x=0 مقارباً شاقولياً."
"23","احسب المشتق الثاني f''(x) للتابع f(x) = e²ˣ.","كرر عملية اشتقاق التابع الأسي مرتين متتاليتين.","4e²ˣ","2e²ˣ","e²ˣ","4x²e²ˣ","A. 4e²ˣ","المشتق الأول هو 2e²ˣ، وباشتقاقه مرة أخرى نضرب مجدداً في معامل الأس 2 فنحصل على 4e²ˣ."
"24","أوجد نهاية f(x) = √(x² + 1) - x عندما تسعى x إلى +∞.","استخدم طريقة الضرب والقسمة على المرافق لإزالة حالة عدم التعيين ∞ - ∞.","0","-1","∞","1","A. 0","بضرب المقدار بمرافقه، نحصل على 1/(√(x²+1) + x)، وبما أن المقام يسعى للانهاية فإن الكسر يسعى للصفر."
"25","في دراسة تغيرات التابع f(x) = (ln x)/(x) على ]0, +∞[، أين يبلغ التابع قيمته الكبرى؟","ادرس إشارة المشتق f'(x) وابحث عن القيمة التي تجعله مساوياً للصفر.","عند النقطة x = e","عند النقطة x = 1","ليس للتابع قيمة كبرى","عند النقطة x = 0","A. عند النقطة x = e","المشتق هو f'(x) = (1 - ln x)/(x²). ينعدم المشتق عند 1 - ln x = 0 أي x = e."
"26","إذا كانت المتتاليتان (uₙ) و (vₙ) متجاورتين، فما هي الخاصية التي تجمع بينهما؟","فكر في كيفية اقتراب المتتاليتين من بعضهما البعض من جهتين مختلفتين.","مجموعهما يساوي صفراً لجميع قيم n","إحداهما متزايدة والأخرى متناقصة، ونهاية فرقهما صفر","كلاهما متزايدتان تماماً نحو اللانهاية","لهما نفس الأساس دائماً","B. إحداهما متزايدة والأخرى متناقصة، ونهاية فرقهما صفر","هذا هو التعريف الدقيق للمتتاليات المتجاورة، وهو ما يضمن تقاربهما لنفس النهاية."
"27","أوجد قيمة النهاية limₓ \ₜₒ \ᵢₙfₜy (x²)/(eˣ).","تذكر مبرهنات التزايد المقارن بين التوابع الحدودية والتوابع الأسية.","2","0","1","∞","B. 0","حسب تزايد المقارن، التابع الأسي ينمو بسرعة أكبر بكثير من أي تابع قوى xⁿ عند اللانهاية."
"28","ليكن التابع f(x) = √(4x + 1). أوجد المشتق f'(x).","استخدم قانون مشتق التابع الجذري (√(u))' = fracu'2√(u).","frac12√(4x + 1)","2√(4x + 1)","frac4√(4x + 1)","frac2√(4x + 1)","D. frac2√(4x + 1)","مشتق الجذر هو مشتق ما تحت الجذر مقسوماً على ضعفي الجذر: 4 / (2√(4x+1)) = 2 / √(4x+1)."
"29","بفرض uₙ₊₁ = 10uₙ - 18 و u₀ = 7. إذا علمنا أن uₙ = 5 · 10ⁿ + 2 لجميع n ≥ 0. فما هي قيمة u₂؟","يمكنك التعويض مباشرة في الصيغة الصريحة لـ uₙ المعطاة في السؤال.","5002","70","52","502","D. 502","بالتعويض في الصيغة الصريحة: u₂ = 5 · 10² + 2 = 500 + 2 = 502."
"30","أوجد نهاية f(x) = x² · e⁻ˣ عندما x → +∞.","أعد كتابة التابع بأس موجب في المقام لتطبيق مبرهنات التزايد المقارن.","0","1","e","+∞","A. 0","يمكن كتابة التابع بشكل x² / eˣ. وحسب مبرهنة التزايد المقارن، فإن النهاية عند +∞ هي صفر."
